text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label,model_labels,predicted_merge
Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,rules. Both Orange County lawmakers aren't expected to be able to get these bills through this,rules. Both Orange County lawmakers aren't expected to be able to get these bills through this,-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
rules. Both Orange County lawmakers aren't expected to be able to get these bills through this,rules. Both Orange County lawmakers aren't expected to be able to get these bills through this,year because o...,year because o...,-0.08,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
year because o...,year because o...,Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,0.19,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep.,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,Dana Rohrabacher this week put in a measure to exempt solar projects from environmental,rules.,rules.,-0.08,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
rules.,rules.,Both Orange County lawmakers aren't expected to be able to get these bills through this year,Both Orange County lawmakers aren't expected to be able to get these bills through this year,1.0,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
Both Orange County lawmakers aren't expected to be able to get these bills through this year,Both Orange County lawmakers aren't expected to be able to get these bills through this year,because of Democratic opposition. But both said such measures are needed to begin,because of Democratic opposition. But both said such measures are needed to begin,-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
because of Democratic opposition. But both said such measures are needed to begin,because of Democratic opposition. But both said such measures are needed to begin,addressing the current pain at the pump.,addressing the current pain at the pump.,-0.08,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
addressing the current pain at the pump.,addressing the current pain at the pump.,"House Speaker Nancy Pelosi said that offshore drilling is ""off the table.'' And Democrats have","House Speaker Nancy Pelosi said that offshore drilling is ""off the table.'' And Democrats have",1.0,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
"House Speaker Nancy Pelosi said that offshore drilling is ""off the table.'' And Democrats have","House Speaker Nancy Pelosi said that offshore drilling is ""off the table.'' And Democrats have","been consistently unwilling to bend the kind of environmental rules Rohrabacher, R-Huntington","been consistently unwilling to bend the kind of environmental rules Rohrabacher, R-Huntington",-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
"been consistently unwilling to bend the kind of environmental rules Rohrabacher, R-Huntington","been consistently unwilling to bend the kind of environmental rules Rohrabacher, R-Huntington","Beach, wants to circumvent.","Beach, wants to circumvent.",-0.08,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,1,1
"Beach, wants to circumvent.","Beach, wants to circumvent.",Pelosi made those comments as Republicans blocked a move by the Democrats to pass a bill,Pelosi made those comments as Republicans blocked a move by the Democrats to pass a bill,1.0,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
Pelosi made those comments as Republicans blocked a move by the Democrats to pass a bill,Pelosi made those comments as Republicans blocked a move by the Democrats to pass a bill,that would have pushed drilling on federal lands already leased by oil companies.,that would have pushed drilling on federal lands already leased by oil companies.,-0.08,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
that would have pushed drilling on federal lands already leased by oil companies.,that would have pushed drilling on federal lands already leased by oil companies.,"Rohrabacher, Calvert and Reps. Ed Royce, R-Fullerton and John Campbell, Irvine, voted","Rohrabacher, Calvert and Reps. Ed Royce, R-Fullerton and John Campbell, Irvine, voted",1.0,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,,1,1
"Rohrabacher, Calvert and Reps. Ed Royce, R-Fullerton and John Campbell, Irvine, voted","Rohrabacher, Calvert and Reps. Ed Royce, R-Fullerton and John Campbell, Irvine, voted","against the Democratic bill – called the Drill Act. Reps. Gary Miller, R-Diamond Bar and Loretta","against the Democratic bill – called the Drill Act. Reps. Gary Miller, R-Diamond Bar and Loretta",-0.08,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
