text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category
EDUCATION ALLOWANCE QUESTIONNAIRE,"[0, 0, 100, 20]",1,12.0,3,1,0.0155,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999995862563,Title/Heading
INSTRUCTIONS,"[0, 0, 100, 20]",1,12.0,1,1,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999455347,Title/Heading
"The information provided in this questionnaire is used to determine the ""school at post"" education allowance rates. Guidance on reporting is contained in the Department of State Standardized Regulations DSSR Section 072. The completed questionnaire should reflect the educational costs of attending the school at post as they pertain to the majority of eligible U.S. Government USG civilian employees with school age children.","[0, 0, 100, 20]",1,10.0,63,0,0.182,0.1587301587301587,0.203125,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,0,1.0,Text/Paragraph
Report all costs in the currency used for payment and specify the currency Do not include discounts given to parents for enrolling more than one child in the same school Sign and date this report to certify completion in accordance with Chapter 270 of the DSSR Submit a separate DS-63 report for each school where USG dependents attend,"[0, 0, 100, 20]",1,10.0,58,0,0.139,0.1206896551724138,0.135593220338983,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,0,1.0,Text/Paragraph
SUBMITTING REPORT:,"[0, 0, 100, 20]",1,10.0,2,1,0.0085,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9999086318491817,Title/Heading
DS-63,"[0, 0, 100, 20]",1,8.0,1,1,0.0025,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,0,0.8401796050715659,Text/Paragraph
12-2005,"[0, 0, 100, 20]",1,8.0,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,0,0.9999957702388511,Text/Paragraph
"All locations and posts should attach fee statements, catalogs, calendars, transportation invoices, and any other documentation supporting costs to the signed original of this report.","[0, 0, 100, 20]",1,10.0,25,0,0.0795,0.12,0.04,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,0,0.9999983726130769,Text/Paragraph
"Department of State posts should submit the signed original of this report directly to the U.S. Department of State, Office of Allowances:","[0, 0, 100, 20]",1,10.0,22,0,0.0585,0.0454545454545454,0.3478260869565217,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,0,0.9999170892824178,Text/Paragraph
U.S. Department of State,"[0, 0, 100, 20]",1,10.0,4,0,0.0105,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9278987638083758,Title/Heading
