text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category
Return chicken to the skillet and cook until heated through. Serve warm.,"[0, 0, 100, 20]",1,12.0,12,0,0.0305,0.0833333333333333,0.1666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,0,0.4977374409688098,Text/Paragraph
Peking Duck,"[0, 0, 100, 20]",1,12.0,2,0,0.005,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999618940285939,Title/Heading
Ingredients:,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading
"1 whole duck 1/4 cup soy sauce 1/4 cup honey 2 tablespoons hoisin sauce 2 tablespoons rice vinegar 2 cloves garlic, minced 1 teaspoon five-spice powder 1 teaspoon grated ginger 1/4 cup green onions, sliced Mandarin pancakes for serving","[0, 0, 100, 20]",1,12.0,39,0,0.0985,0.1794871794871795,0.0232558139534883,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,0,1.0,Text/Paragraph
Instructions:,"[0, 0, 100, 20]",1,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading
"Preheat oven to 375°F 190°C. In a bowl, mix soy sauce, honey, hoisin sauce, rice vinegar, minced garlic, five-spice powder, and grated ginger. Brush the mixture over the duck. Place duck on a roasting rack and roast for 1 hour and 30 minutes until skin is crispy. Let rest before carving. Serve duck with sliced green onions and mandarin pancakes.","[0, 0, 100, 20]",1,12.0,60,0,0.144,0.0833333333333333,0.1269841269841269,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,0,1.0,Text/Paragraph
Pork Schnitzel,"[0, 0, 100, 20]",1,12.0,2,0,0.0065,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9967406459858036,Title/Heading
Ingredients:,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999660612139312,Title/Heading
"4 pork cutlets 1/2 cup flour 2 eggs, beaten 1 cup breadcrumbs 1/4 cup vegetable oil 1 lemon, sliced Salt and pepper to taste","[0, 0, 100, 20]",1,12.0,24,0,0.0505,0.125,0.0384615384615384,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,0,0.9999999999821407,Text/Paragraph
Instructions:,"[0, 0, 100, 20]",1,12.0,1,0,0.0065,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9996536505340587,Title/Heading
