text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
HEPATITIS A VACCINE,HEPATITIS A VACCINE,W H A T  Y O U  N E E D  T O  K N O W,W H A T   Y O U   N E E D   T O    K N O W,0.17,34,0,1,1,62.79,24,-38.79,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
W H A T  Y O U  N E E D  T O  K N O W,W H A T   Y O U   N E E D   T O    K N O W,1 What is hepatitis A?,What is hepatitis A?,2.26,3,1,1,0,24,14,-10,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
1 What is hepatitis A?,What is hepatitis A?,Hepatitis A is a serious liver disease caused by the,Hepatitis A is a serious liver disease caused by the,1.39,-35,0,0,0,14,11.5,-2.5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Hepatitis A is a serious liver disease caused by the,Hepatitis A is a serious liver disease caused by the,hepatitis A virus HAV. HAV is found in the stool,hepatitis A virus (HAV). HAV is found in the stool,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
hepatitis A virus HAV. HAV is found in the stool,hepatitis A virus (HAV). HAV is found in the stool,of persons with hepatitis A. It is usually spread by,of persons with hepatitis A.  It is usually spread by,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
of persons with hepatitis A. It is usually spread by,of persons with hepatitis A.  It is usually spread by,close personal contact and sometimes by eating food,close personal contact and sometimes by eating food,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
close personal contact and sometimes by eating food,close personal contact and sometimes by eating food,or drinking water containing HAV.,or drinking water containing HAV.,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
or drinking water containing HAV.,or drinking water containing HAV.,Hepatitis A can cause:,Hepatitis A can cause:,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Hepatitis A can cause:,Hepatitis A can cause:,mild “flu-like”,mild “flu-like”,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
mild “flu-like”,mild “flu-like”,illness,illness,-26.78,0,1,0,0,11.5,11.5,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
